at ip: 0x7fc6a881a6c8, syscall: 12(0x0, 0x400400, 0x0, 0x64, 0x7fff3d9ff000, 0x37f)returns: 0x1b07000
at ip: 0x7fc6a881b295, syscall: 21(0x7fc6a881f334, 0x0, 0x0, 0x7fff3d9ff120, 0x3c, 0x0)returns: 0xffffffffffffffff
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x2000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7fc69580d000
at ip: 0x7fc6a881b295, syscall: 21(0x7fc6a8821e80, 0x4, 0x7fc6a8805158, 0xffffffffffffffb0, 0x7fc6a8a26770, 0x50)returns: 0xffffffffffffffff
at ip: 0x7fc6a881b1d5, syscall: 2(0x7fc6a881f2d0, 0x0, 0x1, 0xffffffffffffffb0, 0x7fc6a8a26570, 0x0)returns: 0x4
at ip: 0x7fc6a881b1a2, syscall: 5(0x4, 0x7fff3d9af5f0, 0x7fff3d9af5f0, 0xffffffffffffffb0, 0x7fc6a8a26570, 0x0)returns: 0x0
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x23983, 0x1, 0x2, 0x4, 0x0)returns: 0x7fc695790000
at ip: 0x7fc6a881b205, syscall: 3(0x4, 0x23983, 0x1, 0x2, 0x4, 0x0)returns: 0x0
at ip: 0x7fc6a881b295, syscall: 21(0x7fc6a881f334, 0x0, 0x23983, 0x2, 0x4, 0x0)returns: 0xffffffffffffffff
at ip: 0x7fc6a881b1d5, syscall: 2(0x7fc6957afd42, 0x0, 0x0, 0x7fc6957afd42, 0x7fff3d9afaff, 0x0)returns: 0x4
at ip: 0x7fc6a881b235, syscall: 0(0x4, 0x7fff3d9af7a8, 0x340, 0x4, 0x7fff3d9afaff, 0x0)returns: 0x340
at ip: 0x7fc6a881b1a2, syscall: 5(0x4, 0x7fff3d9af640, 0x7fff3d9af640, 0x7fc6957afd42, 0x7fc6a8a261c8, 0x1)returns: 0x0
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x386858, 0x5, 0x802, 0x4, 0x0)returns: 0x7fc6953d4000
at ip: 0x7fc6a881b475, syscall: 10(0x7fc695551000, 0x200000, 0x0, 0x1, 0x4, 0x0)returns: 0x0
at ip: 0x7fc6a881b418, syscall: 9(0x7fc695751000, 0x5000, 0x3, 0x812, 0x4, 0x17d000)returns: 0x7fc695751000
at ip: 0x7fc6a881b418, syscall: 9(0x7fc695756000, 0x4858, 0x3, 0x32, 0xffffffff, 0x0)returns: 0x7fc695756000
at ip: 0x7fc6a881b205, syscall: 3(0x4, 0x10, 0x0, 0x6ffffeff, 0x70000029, 0x6ffffdff)returns: 0x0
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x1000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7fc6953b4000
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x1000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7fc6953b3000
at ip: 0x7fc6a881b418, syscall: 9(0x0, 0x1000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7fc6953ac000
at ip: 0x7fc6a8807304, syscall: 158(0x1002, 0x7fc6953b3700, 0x7fc6953ac000, 0x22, 0xffffffff, 0x0)returns: 0x0
at ip: 0x7fc6a881b475, syscall: 10(0x7fc695751000, 0x4000, 0x1, 0x7fc6953f2af0, 0x2a, 0x1)returns: 0x0
at ip: 0x7fc6a881b475, syscall: 10(0x7fc6a8a24000, 0x1000, 0x1, 0x7fc6a8815a3b, 0x1, 0x7)returns: 0x0
at ip: 0x7fc6a881b445, syscall: 11(0x7fc695790000, 0x23983, 0x30cfa00, 0x7fc6a8815a3b, 0x1, 0x7)returns: 0x0
at ip: 0x7fc6954a0092, syscall: 5(0x1, 0x7fff3d9afdd0, 0x7fff3d9afdd0, 0x0, 0x7fc6957557a0, 0x7fc6953b3700)returns: 0x0
at ip: 0x7fc6954a90e8, syscall: 9(0x0, 0x1000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7fc69530d000
at ip: 0x7fc6954a074e, syscall: 1(0x1, 0x7fc69530d000, 0xc, 0x22, 0xffffffff, 0x0)returns: 0xc
at ip: 0x7fc69547dbd6, syscall: 231(0x0, 0x3c, 0x0, 0x22, 0xe7, 0xffffffffffffffa8)#eof
